Sensor,Time,Value
Soil Moisture,2024-05-24 07:59:41,19.519852279860363
Temperature,2024-05-24 07:59:41,31.476835487939297
Crop Growth,2024-05-24 07:59:41,0.15998339075808504
Soil Moisture,2024-05-24 07:59:42,10.369099045965495
Temperature,2024-05-24 07:59:43,29.60450705967036
Soil Moisture,2024-05-24 07:59:44,15.991119950229827
Temperature,2024-05-24 07:59:45,33.65196331745338
Soil Moisture,2024-05-24 07:59:46,12.482663803154946
Temperature,2024-05-24 07:59:47,34.035572573727215
Soil Moisture,2024-05-24 07:59:48,19.417958359214843
Temperature,2024-05-24 07:59:49,26.06939447749692
Crop Growth,2024-05-24 07:59:54,0.19981665950923985
Soil Moisture,2024-05-24 07:59:55,13.480434372665227
Temperature,2024-05-24 07:59:56,30.147169378589815
Soil Moisture,2024-05-24 07:59:57,18.023319705829444
Temperature,2024-05-24 07:59:58,33.16007398850753
Soil Moisture,2024-05-24 07:59:59,24.030988330098353
Temperature,2024-05-24 08:00:00,28.0207690038104
Soil Moisture,2024-05-24 08:00:01,23.624468176319223
Temperature,2024-05-24 08:00:02,30.37350206509488
Evapotranspiration,2024-05-24 07:59:41,0.05007361080253511
Evapotranspiration,2024-05-24 07:59:42,0.03580230799472505
Evapotranspiration,2024-05-24 07:59:43,0.03958284266102425
Evapotranspiration,2024-05-24 07:59:44,0.04546135552291092
Evapotranspiration,2024-05-24 07:59:45,0.04465163651610563
Evapotranspiration,2024-05-24 07:59:46,0.04196617563769966
Evapotranspiration,2024-05-24 07:59:47,0.04761461914694701
Evapotranspiration,2024-05-24 07:59:48,0.04849914709197557
Evapotranspiration,2024-05-24 07:59:49,0.042135443687972764
Evapotranspiration,2024-05-24 07:59:54,0.04090164179651134
Evapotranspiration,2024-05-24 07:59:55,0.03934169046679083
Evapotranspiration,2024-05-24 07:59:56,0.04376802659464724
Evapotranspiration,2024-05-24 07:59:57,0.04828845735504476
Evapotranspiration,2024-05-24 07:59:58,0.053746245777210204
Evapotranspiration,2024-05-24 07:59:59,0.05455983613076964
Evapotranspiration,2024-05-24 08:00:00,0.051443620867456005
Evapotranspiration,2024-05-24 08:00:01,0.05253881158472888
Evapotranspiration,2024-05-24 08:00:02,0.053853889595444786
